tract,total number of permits,corporate permits,individual permits,trust permits,condo association permits,city of boston permits,total declared valuation,number of new builds,number of renovations,median household income
25025010702,329,109,132,69,16,3,1815818575.9699996,9,300,60559
25025070902,208,49,106,40,11,2,70436146.03999999,2,164,54192
25025010801,221,30,82,81,28,0,227631919.12999997,1,194,32421
25025010403,79,45,19,13,0,2,118398491.92,3,55,4492
25025030400,346,104,143,82,9,8,199860576.41000003,4,260,19174
25025060700,4,0,2,0,0,2,11797700.45,1,3,
25025060800,670,146,312,163,45,4,405538627.01,66,337,31770
25025061000,189,28,91,51,17,2,431385773.20000005,8,100,26577
25025070700,201,34,87,67,11,2,378041638.87,5,163,47831
25025060602,18,8,9,1,0,0,428156663.43999994,3,9,99432
25025140106,66,6,48,10,2,0,15395918.110000001,2,28,27577
25025110201,274,23,219,27,2,3,18281571.310000002,2,89,17952
25025080500,105,32,68,4,0,1,278098786.39,4,46,15445
25025140202,1093,34,967,83,5,4,84219073.21000001,15,342,40852
25025140300,1042,110,858,60,3,11,415451739.73,17,379,22934
25025080801,59,29,11,7,0,12,437410867.6200001,7,35,23649
25025140400,1484,48,1324,108,3,1,101207196.19999993,31,460,15304
25025020200,374,95,169,90,18,2,158189433.42000002,1,282,10788
25025980700,4,0,3,0,0,1,6592066.0,0,1,0
25025080601,115,42,55,11,2,5,1923482125.2200003,7,56,13222
25025030200,181,80,66,28,6,1,77489614.36,5,126,20332
25025040200,164,25,97,32,7,3,52308590.620000005,5,111,99758
25025040300,757,55,454,216,26,6,226296949.28,14,470,16951
25025050200,536,148,288,93,3,4,170863761.39,18,255,10472
25025050300,113,57,28,24,0,4,435196451.52,10,61,15329
25025050400,297,88,118,87,2,2,175389673.45000008,26,159,24487
25025050600,231,103,79,43,0,6,171116641.28999996,18,133,19475
25025050700,450,112,216,119,1,2,2286496513.2900004,28,212,19993
25025010104,186,69,45,62,8,2,1284640653.9499998,5,133,8712
25025060101,465,72,249,108,34,2,215563697.79999998,34,267,21382
25025000503,62,19,19,23,1,0,8678955.11,1,40,12794
25025051200,371,80,148,138,1,4,131463674.35999997,28,197,16439
25025060200,339,58,183,72,26,0,74522298.86999999,8,215,27880
25025060400,830,114,449,208,56,3,427404603.53000003,23,507,27439
25025981300,7,0,1,0,0,6,265266141.6,1,2,
25025010300,58,14,31,12,0,1,1651240699.8400002,5,44,12204
25025981100,19,3,13,0,0,3,17076470.16,1,8,0
25025981800,6,0,0,0,0,6,4293546.3,0,2,0
25025981700,3,0,0,0,0,3,6677688.6899999995,1,1,0
25025981501,6,0,6,0,0,0,2443659.25,0,1,
25025981201,9,0,8,0,0,1,705924.75,1,2,0
25025000601,437,91,282,53,6,5,169281207.99,15,184,20023
25025000502,106,29,36,37,1,3,686590230.1700002,2,57,13504
25025000701,179,66,69,43,1,0,32396425.830000002,2,94,12675
25025110501,744,22,613,95,13,1,62517241.93999999,14,337,26547
25025061101,17,5,6,1,0,5,117825577.50000001,2,9,4627
25025000302,420,40,331,43,6,0,42802436.160000004,6,178,19084
25025080900,287,128,116,39,2,2,299588987.58000004,8,160,28509
25025060501,590,128,270,140,49,3,437414612.39000005,44,314,15691
25025050101,448,76,269,101,0,2,113678575.53,15,202,23460
25025110607,1042,50,757,186,46,3,180192000.15999985,14,482,23974
25025120104,347,20,224,88,14,1,70132643.69,9,182,25854
25025120201,432,70,212,118,27,5,253826373.73999983,31,214,17273
25025980300,4,0,3,0,0,1,27805112.54,1,3,0
25025000704,187,77,66,42,1,1,266038900.95000005,3,109,6250
25025000703,110,56,41,13,0,0,137952145.03999996,1,55,8809
25025010802,298,59,124,87,28,0,302328189.53000003,3,241,32229
25025010204,158,44,23,85,5,1,2521292678.7400002,8,89,27511
25025010404,139,57,56,25,1,0,186588640.45000005,3,95,7153
25025000401,376,69,244,55,7,1,289386094.66,12,168,9175
25025010405,84,23,45,14,1,1,956810935.6400001,4,50,4772
25025081001,327,137,147,37,4,2,4125347933.19,17,155,13579
25025020101,657,141,336,154,26,0,537357000.9399999,2,539,44052
25025020301,37,19,16,1,0,1,2653957209.97,3,29,38246
25025020302,138,37,45,44,10,2,118032993.02000001,2,105,43330
25025040100,329,13,197,99,10,10,122921445.09,3,230,37113
25025060603,23,5,6,1,0,11,5892175178.97,5,10,97389
25025070802,292,51,131,95,13,2,185003326.52999997,4,232,26562
25025050901,479,125,255,92,0,7,180541065.15,22,215,27784
25025061202,8,1,4,0,0,3,22219963.43,0,4,0
25025051000,512,92,307,109,1,3,475052442.75,44,218,11244
25025070801,49,24,15,9,0,1,191808767.66000003,1,23,0
25025060601,201,51,78,50,20,2,159233134.86999997,30,79,59700
25025060301,574,97,286,153,35,3,134246542.03000003,12,335,26520
25025080100,376,160,175,30,1,10,473832269.3099999,11,146,21397
25025100700,831,71,639,112,7,2,134346019.04000002,21,351,17082
25025120103,334,22,210,89,13,0,80777848.35999997,7,194,46600
25025130406,354,28,293,31,0,2,218457209.52,15,134,17923
25025130404,497,32,408,54,0,3,159246948.21,16,164,26465
25025010408,36,16,2,17,1,0,22086892.07,1,26,5610
25025010701,296,145,78,65,7,1,549290046.15,1,248,10569
25025110403,870,20,715,120,12,3,93170660.43999997,13,312,18521
25025040801,43,12,21,2,2,6,715814587.25,5,30,34240
25025071201,105,41,28,20,5,11,650630033.1700001,6,66,11262
25025120301,632,112,376,118,23,3,223893234.94,37,311,15621
25025120105,594,14,504,75,0,1,590551200.52,14,276,26114
25025140105,831,42,717,72,0,0,44525789.010000005,6,234,25801
25025070901,79,37,30,11,1,0,22756224.229999997,0,54,20981
25025000402,423,65,282,69,4,3,269134779.71000004,15,176,15198
25025000201,522,92,350,70,7,3,47068162.04999999,7,219,27874
25025000202,478,72,342,58,5,1,75998783.02999999,11,206,33691
25025000301,378,55,257,59,4,3,170107984.53999996,18,162,9595
25025071101,230,57,111,54,7,1,1324963862.9600003,4,181,11855
25025000506,128,36,54,32,6,0,46364493.6,1,68,24836
25025010206,50,34,8,7,0,1,1579688087.8400002,6,29,24956
25025030500,158,44,56,44,10,4,134430926.28,0,102,23921
25025010500,187,74,59,47,7,0,1833345608.3600001,3,155,7271
25025070302,196,53,84,47,8,4,1499176513.2299998,6,147,58848
25025061203,143,41,47,45,7,3,450244973.38,25,58,66059
25025091300,278,65,186,21,3,3,160288476.14999995,10,112,9761
25025070103,10,0,4,4,0,2,46408024.96,1,5,35261
25025081301,183,50,112,19,0,2,308235650.56,6,92,17809
25025070301,316,39,154,110,11,2,191846941.55999997,0,238,84163
25025981900,6,4,1,0,0,1,46127269.11,0,3,0
25025070102,113,58,38,15,0,2,631295705.6899999,3,94,45313
25025070501,284,47,115,101,19,2,145053020.54000005,3,220,55051
25025030302,164,96,37,17,2,12,5568896285.17,13,131,27761
25025070201,63,22,37,3,0,1,693608062.01,4,43,30170
25025040600,582,82,354,128,12,6,1153239945.16,26,326,23218
25025010205,75,29,18,26,0,2,266955555.57,2,52,36145
25025110105,267,30,159,66,11,1,32965358.04,9,127,32537
25025000806,39,12,26,0,0,1,2606737313.31,11,22,21227
25025000102,306,108,157,35,5,1,1424619550.96,26,147,17365
25025061201,317,97,150,54,16,0,206953354.14999995,36,130,66016
25025020305,15,3,8,3,0,1,1732421457.6,3,9,30147
25025020304,64,44,11,7,1,1,597118218.9100001,5,49,19081
25025130101,1264,35,1094,127,7,1,100908084.20999998,20,540,18783
25025000505,81,40,27,12,0,2,111327165.49000001,2,32,15839
25025000604,149,39,92,12,2,4,57199071.50000001,1,65,19268
25025030301,28,20,5,2,0,1,186090470.24,1,17,53604
25025000807,14,4,0,9,0,1,147033218.7,1,13,0
25025081101,56,17,23,9,7,0,355629862.41999996,5,35,11091
25025081102,187,45,105,35,1,1,54061686.89,9,97,15152
25025000603,28,11,4,1,0,12,730250583.21,9,15,13167
25025070202,180,67,68,41,3,1,1313786944.23,7,116,24042
25025000805,238,104,94,37,2,1,304957524.03999996,7,102,16934
25025081302,120,39,58,15,3,5,179600934.09,4,50,4984
25025110106,229,22,164,37,3,3,134200516.64999999,2,110,26847
25025070502,244,37,98,91,14,4,133725686.52999999,7,195,14023
25025000101,241,39,160,38,3,1,46152062.74999999,6,99,9662
25025110104,211,32,152,22,2,3,38982642.95000001,7,84,42827
25025980900,5,0,2,1,0,2,29282943.38,0,0,
25025000804,421,102,272,40,5,2,2036610201.68,18,193,13515
25025092000,656,70,528,52,0,6,112385281.39000008,10,283,14272
25025092200,557,50,421,75,5,6,104337560.58999999,8,243,25737
25025092300,437,63,338,31,0,5,74024854.34,14,167,21449
25025092400,560,136,365,45,7,7,126717257.14000003,30,243,15230
25025100100,565,78,436,38,0,13,136675290.20000005,69,227,8258
25025100200,388,55,291,31,3,8,42852352.76,19,137,12378
25025140201,351,42,285,20,2,2,90062067.32999997,13,100,9212
25025082100,302,101,175,22,0,4,131136769.79000002,4,168,9984
25025050500,146,55,40,48,0,3,340057586.68,12,66,13219
25025101101,428,37,360,29,1,1,189562736.94000006,11,176,24852
25025101102,539,87,395,47,3,7,65890642.79000001,16,209,8870
25025110401,516,44,402,63,4,3,70478922.29999998,11,204,11123
25025120600,379,33,232,86,27,1,40444404.32,6,219,24394
25025091700,371,35,303,27,5,1,72497110.18999998,4,167,6952
25025030100,212,57,97,51,6,1,57195874.82,2,140,14048
25025110502,770,53,582,112,20,3,135647171.77000004,16,312,19708
25025010600,80,34,24,15,4,3,3070969093.7099996,4,63,21741
25025120500,262,35,171,45,9,2,32385900.679999992,3,112,38742
25025070600,421,53,221,127,17,3,228762985.48999998,1,343,28286
25025100603,329,61,196,58,10,4,224765429.29000005,25,132,23368
25025010103,126,6,9,110,1,0,2027689432.1799996,7,62,4014
25025070402,29,21,3,3,0,2,3359354431.2400002,9,18,15830
25025140107,511,21,449,37,1,3,48614914.85000003,7,176,16581
25025051101,766,93,483,184,2,4,450990554.63,31,304,22930
25025981202,30,9,8,1,0,12,1094228176.37,0,14,0
25025981600,4,3,0,1,0,0,1935168.06,1,3,
25025090901,18,7,9,0,0,2,277705702.81,1,11,
25025092101,888,148,549,171,14,6,917929540.78,35,407,24934
25025110301,540,39,435,53,10,3,139802083.04000002,26,193,16674
25025100500,835,101,624,92,7,11,186386233.98999995,33,372,23048
25025981000,4,0,2,0,0,2,2579005.0,0,2,0
25025091001,466,82,307,62,12,3,1070458690.5600001,30,227,29424
25025040401,326,26,191,89,14,6,119185419.03,5,202,32476
25025100601,763,66,568,112,17,0,58386183.55000002,5,335,15680
25025090100,519,83,389,36,1,10,67429379.99,11,246,4714
25025091100,646,113,385,124,23,1,129149492.44000004,14,317,19890
25025091200,390,61,242,74,10,3,76119661.23,6,222,33529
25025091400,307,56,231,19,0,1,45140479.57000001,5,126,17167
25025091500,494,64,337,78,13,2,125021785.67,13,229,3982
25025091600,361,64,228,58,7,4,85578565.25000001,5,163,24207
25025091800,457,65,348,35,3,6,71321727.64000003,20,192,26693
25025080300,211,54,123,24,4,6,155632912.36,9,82,15997
25025080401,118,65,33,12,4,4,337117820.83,10,67,11029
25025081200,193,24,139,22,4,4,207305608.95,2,81,11223
25025081400,457,89,260,84,14,10,139638353.77,20,212,24798
25025081500,242,37,154,30,6,15,64322754.63999999,19,105,15473
25025081700,348,62,243,34,4,5,132210626.97999999,8,166,10767
25025081800,441,74,310,40,8,9,130146994.37999998,21,193,14672
25025081900,327,61,223,36,3,4,112310835.96999997,14,161,29909
25025082000,408,81,281,41,3,2,111521168.33,11,171,27243
25025091900,500,63,377,35,2,23,75231361.78000003,20,185,9733
25025090200,197,59,123,9,1,5,52317309.269999996,2,80,18344
25025090300,354,92,239,15,3,5,87788766.85999997,11,149,9313
25025090400,460,93,325,32,2,8,124502090.73000005,26,150,21588
25025090600,338,95,209,26,2,6,78103900.05999999,14,123,21347
25025090700,613,172,317,97,24,3,527521448.61,22,317,29827
25025100300,549,49,449,46,3,2,79708642.09,14,225,33392
25025100400,758,70,600,81,5,2,129209786.89,14,328,24815
25025100800,927,50,732,133,9,3,151986218.90000004,17,434,25278
25025101002,682,36,589,50,1,6,216430759.27,12,206,15700
25025100900,801,58,646,85,6,6,98534460.75,19,288,11480
25025101001,972,48,856,62,3,3,154992154.66999993,11,336,15912
25025110601,719,14,639,63,3,0,50212671.620000005,10,275,46035
25025120400,863,78,535,205,37,8,248031726.18000004,22,494,26109
25025120700,195,28,112,47,6,2,103740339.53999999,5,99,28282
25025130200,1203,59,996,129,14,5,119878478.01000005,24,527,19785
25025130402,1097,72,937,82,4,2,428301467.8499999,46,359,32858
25025130300,1184,31,1004,138,7,4,163397633.25000003,28,532,12778
25025140102,977,73,820,77,4,3,158476429.12000003,52,325,9540
25025070104,213,121,52,22,11,7,8961581873.549997,13,183,60797
25025061204,35,24,7,2,2,0,2024791878.33,6,27,17023
25025060604,97,52,26,7,2,10,4359213099.95,17,58,46935
